Source,Title,Company,Location,Skills
Glassdoor,Senior DevOps Engineer,Twilio,"San Francisco, CA",AWS; Kubernetes; Docker; Terraform; Go; Prometheus
Glassdoor,DevOps Engineer II,Box,"Redwood City, CA",AWS; Docker; Kubernetes; Jenkins; Ruby; Terraform
Glassdoor,Infrastructure Engineer,Datadog,"New York, NY",AWS; GCP; Kubernetes; Docker; Go; Terraform
Glassdoor,DevOps Lead,HashiCorp,"San Francisco, CA",Terraform; Vault; Consul; Kubernetes; AWS; Go
Glassdoor,Cloud DevOps Engineer,MongoDB,"New York, NY",AWS; Kubernetes; Docker; Terraform; Python; MongoDB
Glassdoor,DevOps Engineer,Elastic,"Mountain View, CA",AWS; Kubernetes; Docker; ELK Stack; Terraform; Python
Glassdoor,Platform DevOps,GitLab,Remote,GCP; Kubernetes; Docker; GitLab CI; Terraform; Ruby
Glassdoor,DevOps Engineer,Confluent,"Mountain View, CA",AWS; Kubernetes; Docker; Kafka; Terraform; Java
Glassdoor,Senior SRE/DevOps,New Relic,"Portland, OR",AWS; Kubernetes; Docker; Go; Prometheus; Grafana
Glassdoor,DevOps Engineer,Wayfair,"Boston, MA",GCP; Kubernetes; Docker; Terraform; Python; Jenkins
Glassdoor,Platform Engineer,Instacart,"San Francisco, CA",AWS; Kubernetes; Docker; Terraform; Ruby; Datadog
Glassdoor,SRE,DoorDash,"San Francisco, CA",AWS; Kubernetes; Docker; Go; Terraform; Prometheus
Glassdoor,DevOps Engineer,Lyft,"San Francisco, CA",AWS; Kubernetes; Docker; Go; Terraform; Envoy
Glassdoor,Cloud Engineer,Chewy,"Plantation, FL",AWS; Kubernetes; Docker; Terraform; Python; Jenkins
Glassdoor,DevOps Engineer,Square,"San Francisco, CA",AWS; Kubernetes; Docker; Ruby; Terraform; Prometheus
Glassdoor,Platform Engineer,Robinhood,"Menlo Park, CA",AWS; Kubernetes; Docker; Python; Terraform; Kafka
Glassdoor,SRE,Coinbase,"San Francisco, CA",AWS; Kubernetes; Docker; Go; Terraform; Datadog
Glassdoor,DevOps Lead,Chime,"San Francisco, CA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,Cloud DevOps,SoFi,"San Francisco, CA",AWS; Kubernetes; Docker; Terraform; Java; Jenkins
Glassdoor,DevOps Engineer,Affirm,"San Francisco, CA",AWS; Kubernetes; Docker; Python; Terraform; Ansible
Glassdoor,Infrastructure Engineer,Marqeta,"Oakland, CA",AWS; Kubernetes; Docker; Python; Terraform; Datadog
Glassdoor,SRE,Adyen,"San Francisco, CA",AWS; Kubernetes; Docker; Java; Terraform; Prometheus
Glassdoor,Platform Engineer,Toast,"Boston, MA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,Bill.com,"San Jose, CA",AWS; Kubernetes; Docker; Python; Terraform; Ansible
Glassdoor,DevOps Engineer,Epic Systems,"Madison, WI",Azure; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,Platform Engineer,Veeva Systems,"Pleasanton, CA",AWS; Kubernetes; Docker; Java; Terraform; Jenkins
Glassdoor,SRE,Cerner,"Kansas City, MO",AWS; Kubernetes; Docker; Python; Ansible; Jenkins
Glassdoor,Cloud DevOps,Teladoc Health,"Purchase, NY",AWS; Kubernetes; Docker; Terraform; Python; Datadog
Glassdoor,DevOps Engineer,Oscar Health,"New York, NY",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,Tesla,"Palo Alto, CA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,Platform Engineer,Rivian,"Irvine, CA",AWS; Kubernetes; Docker; Python; Terraform; Ansible
Glassdoor,SRE,Lucid Motors,"Newark, CA",AWS; Kubernetes; Docker; Go; Terraform; Prometheus
Glassdoor,Cloud DevOps,Ford,"Dearborn, MI",AWS; Azure; Kubernetes; Docker; Terraform; Jenkins
Glassdoor,DevOps Engineer,General Motors,"Detroit, MI",GCP; Kubernetes; Docker; Python; Terraform; Ansible
Glassdoor,DevOps Engineer,Hulu,"Santa Monica, CA",AWS; Kubernetes; Docker; Python; Terraform; Spinnaker
Glassdoor,Platform Engineer,Warner Bros Discovery,"New York, NY",AWS; Kubernetes; Docker; Go; Terraform; Jenkins
Glassdoor,SRE,NBCUniversal,"New York, NY",AWS; Kubernetes; Docker; Python; Terraform; Datadog
Glassdoor,Cloud DevOps,ViacomCBS,"New York, NY",AWS; Kubernetes; Docker; Terraform; Python; Jenkins
Glassdoor,DevOps Engineer,Sony,"San Mateo, CA",AWS; Kubernetes; Docker; Java; Terraform; Ansible
Glassdoor,DevOps Engineer,NVIDIA,"Santa Clara, CA",AWS; Kubernetes; Docker; Python; Terraform; GPU
Glassdoor,Platform Engineer,AMD,"Santa Clara, CA",AWS; Kubernetes; Docker; Python; Ansible; Jenkins
Glassdoor,SRE,Intel,"Santa Clara, CA",AWS; Kubernetes; Docker; Python; Terraform; Prometheus
Glassdoor,Cloud DevOps,Qualcomm,"San Diego, CA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,Broadcom,"San Jose, CA",AWS; Kubernetes; Docker; Python; Ansible; Linux
Glassdoor,DevOps Engineer,SpaceX,"Hawthorne, CA",AWS; Kubernetes; Docker; Python; Terraform; Linux
Glassdoor,Platform Engineer,Lockheed Martin,"Bethesda, MD",AWS; Kubernetes; Docker; Python; Ansible; Jenkins
Glassdoor,SRE,Northrop Grumman,"Falls Church, VA",AWS; Kubernetes; Docker; Python; Terraform; Security
Glassdoor,Cloud DevOps,Raytheon,"Waltham, MA",AWS; Kubernetes; Docker; Python; Ansible; Jenkins
Glassdoor,DevOps Engineer,Boeing,"Seattle, WA",AWS; Kubernetes; Docker; Python; Terraform; Linux
Glassdoor,DevOps Engineer,Booking.com,"New York, NY",AWS; Kubernetes; Docker; Java; Terraform; Prometheus
Glassdoor,Platform Engineer,Expedia,"Seattle, WA",AWS; Kubernetes; Docker; Java; Terraform; Jenkins
Glassdoor,SRE,Marriott,"Bethesda, MD",AWS; Azure; Kubernetes; Docker; Terraform; Ansible
Glassdoor,Cloud DevOps,Hilton,"McLean, VA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,Tripadvisor,"Needham, MA",AWS; Kubernetes; Docker; Python; Terraform; Datadog
Glassdoor,DevOps Engineer,Zillow,"Seattle, WA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,Platform Engineer,Redfin,"Seattle, WA",AWS; Kubernetes; Docker; Java; Terraform; Ansible
Glassdoor,SRE,Opendoor,"San Francisco, CA",AWS; Kubernetes; Docker; Go; Terraform; Datadog
Glassdoor,Cloud DevOps,Compass,"New York, NY",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,CoStar Group,"Washington, DC",AWS; Kubernetes; Docker; Python; Terraform; Ansible
Glassdoor,DevOps Engineer,Coursera,"Mountain View, CA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,Platform Engineer,Duolingo,"Pittsburgh, PA",AWS; Kubernetes; Docker; Python; Terraform; Prometheus
Glassdoor,SRE,Chegg,"Santa Clara, CA",AWS; Kubernetes; Docker; Python; Terraform; Datadog
Glassdoor,Cloud DevOps,Udemy,"San Francisco, CA",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,Instructure,"Salt Lake City, UT",AWS; Kubernetes; Docker; Ruby; Terraform; Ansible
Glassdoor,DevOps Engineer,Uber Eats,"San Francisco, CA",AWS; Kubernetes; Docker; Go; Terraform; Prometheus
Glassdoor,Platform Engineer,Grubhub,"Chicago, IL",AWS; Kubernetes; Docker; Java; Terraform; Jenkins
Glassdoor,SRE,Postmates,"San Francisco, CA",AWS; Kubernetes; Docker; Python; Terraform; Datadog
Glassdoor,Cloud DevOps,Blue Apron,"New York, NY",AWS; Kubernetes; Docker; Ruby; Terraform; Ansible
Glassdoor,DevOps Engineer,HelloFresh,"New York, NY",AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,DevOps Engineer,Delivery Hero,"Berlin, Germany",AWS; Kubernetes; Docker; Go; Terraform; Prometheus
Glassdoor,Platform Engineer,N26,"Berlin, Germany",AWS; Kubernetes; Docker; Python; Terraform; Kafka
Glassdoor,SRE,Zalando,"Berlin, Germany",AWS; Kubernetes; Docker; Java; Terraform; Prometheus
Glassdoor,Cloud DevOps,Spotify,"London, UK",GCP; Kubernetes; Docker; Python; Terraform; Backstage
Glassdoor,DevOps Engineer,Monzo,"London, UK",AWS; Kubernetes; Docker; Go; Terraform; Prometheus
Glassdoor,Platform Engineer,Starling Bank,"London, UK",AWS; Kubernetes; Docker; Java; Terraform; Jenkins
Glassdoor,SRE,Checkout.com,"London, UK",AWS; Kubernetes; Docker; Go; Terraform; Datadog
Glassdoor,DevOps Engineer,Gojek,"Jakarta, Indonesia",GCP; Kubernetes; Docker; Go; Terraform; Kafka
Glassdoor,Cloud DevOps,Sea Group,Singapore,AWS; Kubernetes; Docker; Python; Terraform; Jenkins
Glassdoor,Platform Engineer,Carousell,Singapore,AWS; Kubernetes; Docker; Go; Terraform; Prometheus
